question_id,locale_code,language_code,dialect_code,field,text
7,zh-Hant,zh,,錯誤提示 1：動詞,客語中，穿在身上的衣服、褲裙或鞋襪，要用「著」喔！快去檢查一下你的動詞吧！
7,zh-Hant,zh,,錯誤提示 2：衣物,溜直排輪速度很快，為了防止摔倒受傷，快戴上能保護關節的防護配件吧！
8,zh-Hant,zh,,context_text,，穿去參加就職面試，給人留下專業得體的第一印象。
8,zh-Hant,zh,,錯誤提示 1：動詞,客語中，穿在身上的衣服、褲裙或鞋襪，要用「著」喔！快去檢查一下你的動詞吧！
8,zh-Hant,zh,,錯誤提示 2：衣物,給人印象不夠專業，請找找衣櫃裡最端莊得體、適合正式場合的衣物喔！
8,zh-Hant,zh,,錯誤提示 3：顏色,正式的面試場合，穿著過於耀眼奪目或花俏的色系會不夠莊重，試試沉穩得體的色系吧！
9,zh-Hant,zh,,context_text,，去參加社區大掃除，不怕髒污又舒適。
9,zh-Hant,zh,,錯誤提示 1：動詞,"客語中，戴在頭上或頸部的配件（如帽仔,頸圍仔），要用「戴」喔！快去檢查一下你的動詞吧！"
9,zh-Hant,zh,,錯誤提示 2：衣物,勞動出汗又容易沾上髒污，換上方便活動的輕便服裝吧！
9,zh-Hant,zh,,錯誤提示 3：顏色,大掃除容易弄髒衣服，亮色或白色的衣物一下就髒了，建議選擇最耐髒的深色系！
10,zh-Hant,zh,,context_text,，在街上隨心搭配任何顏色，展現出獨特且自信的個人風格。
10,zh-Hant,zh,,錯誤提示 2：衣物,但要記得避開不適合上街的特殊搭配喔！
11,zh-Hant,zh,,context_text,，這是今天最合適的裝扮。
12,zh-Hant,zh,,context_text,，像雪的顏色一樣，穿起來又暖和。
12,zh-Hant,zh,,錯誤提示 2：衣物,寒風刺骨！要讓身體保持暖和，快找找衣櫃裡最防寒禦寒的厚重衣物吧！
12,zh-Hant,zh,,錯誤提示 3：顏色,試著搭配能融入雪景、潔白無瑕的顏色，看起來會更有冬季的浪漫氣氛喔！
13,zh-Hant,zh,,context_text,，打籃球時讓手腳好活動，展現滿滿活力。
13,zh-Hant,zh,,錯誤提示 1：動詞,客語中，穿在身上的衣服、褲裙或鞋襪，要用「著」喔！快去檢查一下你的動詞吧！
13,zh-Hant,zh,,錯誤提示 3：顏色,有許多劇烈跑跳動作，請換上方便伸展的運動服裝！
14,zh-Hant,zh,,context_text,，色彩活潑又顯眼，夜晚出門真安全。
14,zh-Hant,zh,,錯誤提示 3：顏色,夜晚視線不良，建議選擇容易被注意的亮色系！
15,zh-Hant,zh,,context_text,，新年去親戚家拜年，長輩看著真高興。
15,zh-Hant,zh,,錯誤提示 3：顏色,過年拜年最講求喜氣洋洋，穿著黯淡或代表哀傷的黑白色系，長輩可是會不高興的喔！
16,zh-Hant,zh,,context_text,，看起來真有精神。
16,zh-Hant,zh,,錯誤提示 3：顏色,散步出門曬太陽，穿上繽紛亮麗的色彩會讓你看起來更有朝氣喔！
17,zh-Hant,zh,,context_text,，最適合穿去參加室內婚宴，祝福新人。
17,zh-Hant,zh,,錯誤提示 1：動詞,客語中，穿在身上的衣服、褲裙或鞋襪，要用「著」喔！快去檢查一下你的動詞吧！
17,zh-Hant,zh,,錯誤提示 2：衣物,婚禮是非常正式的社交場合，穿著太過隨性的便服或戴帽子會不夠莊重，請穿上體面的服飾！
17,zh-Hant,zh,,錯誤提示 3：顏色,婚禮是喜氣洋洋的終身大事，穿得太過暗淡不夠喜慶，建議換上明亮討喜的顏色！
18,zh-Hant,zh,,context_text,，充滿在地桐花意象，好看又特別。
18,zh-Hant,zh,,錯誤提示 3：顏色,油桐花季盛開時，適合選擇能與「五月雪」意象呼應的花卉色彩！
19,zh-Hant,zh,,context_text,，富有杭菊色彩意象，清爽又亮眼。
19,zh-Hant,zh,,錯誤提示 3：顏色,杭菊季由兩種最經典的色彩交織而成，試試大自然相配的顏色！
20,zh-Hant,zh,,context_text,，放寒假和家人出門，在冷呼呼的天氣裡展現你的自信搭配。
20,zh-Hant,zh,,錯誤提示 2：衣物,冷風吹來不能大意！那些短褲、短裙或泳裝都不對喔，快找出能防寒禦寒的衣物吧！
